Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,seas_rnd,First.Game,round.name,Finals,status,Home.Venue.Exp,Away.Venue.Exp,Home.Interstate,Away.Interstate,Home.Factor,Away.Factor,Home.ELO_pre,Away.ELO_pre,Home.ELO,Away.ELO,Probability,Prediction
1,1897-05-08,1,Fitzroy,6,13,49,Carlton,2,4,16,Brunswick St,33,1897,Regular,1,1897.1,TRUE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1500,1500,1503.365,1496.635,0.5,-0
2,1897-05-08,1,Collingwood,5,11,41,St Kilda,2,4,16,Victoria Park,25,1897,Regular,1,1897.1,TRUE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1500,1500,1503.365,1496.635,0.5,-0
3,1897-05-08,1,Geelong,3,6,24,Essendon,7,5,47,Corio Oval,-23,1897,Regular,1,1897.1,TRUE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1500,1500,1496.635,1503.365,0.5,-0
4,1897-05-08,1,Sydney,3,9,27,Melbourne,6,8,44,Lake Oval,-17,1897,Regular,1,1897.1,TRUE,NA,NA,NA,1,1,TRUE,FALSE,1,0,1500,1500,1496.635,1503.365,0.5,-0
5,1897-05-15,2,Sydney,6,4,40,Carlton,5,6,36,Lake Oval,4,1897,Regular,2,1897.2,FALSE,NA,NA,NA,2,1,TRUE,FALSE,1,0,1496.635,1496.635,1499.7216774411067,1493.5483225588932,0.5413555065220419,5
6,1897-05-15,2,Essendon,4,6,30,Collingwood,8,2,50,East Melbourne,-20,1897,Regular,2,1897.2,FALSE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1503.365,1503.365,1500,1506.73,0.5,-0
7,1897-05-15,2,St Kilda,3,8,26,Fitzroy,10,6,66,Junction Oval,-40,1897,Regular,2,1897.2,FALSE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1496.635,1503.365,1493.7202134153888,1506.2797865846112,0.4331035043998929,-6
8,1897-05-15,2,Melbourne,9,10,64,Geelong,3,1,19,M.C.G.,45,1897,Regular,2,1897.2,FALSE,NA,NA,NA,1,1,FALSE,FALSE,1,0,1503.365,1496.635,1506.2797865846112,1493.7202134153888,0.5668964956001071,7
9,1897-05-22,3,Collingwood,6,5,41,Geelong,5,7,37,Victoria Park,4,1897,Regular,3,1897.3,FALSE,NA,NA,NA,2,1,FALSE,FALSE,1,0,1506.73,1493.7202134153888,1508.9837468188296,1491.4664665965593,0.6651193434131275,18
10,1897-05-22,3,Fitzroy,5,9,39,Melbourne,7,8,50,Brunswick St,-11,1897,Regular,3,1897.3,FALSE,NA,NA,NA,2,1,FALSE,FALSE,1,0,1506.2797865846112,1506.2797865846112,1502.636464025718,1509.9231091435045,0.5413555065220419,5
11,1897-05-24,3,Essendon,12,6,78,Carlton,6,5,41,East Melbourne,37,1897,Regular,3,1897.3,FALSE,NA,NA,NA,2,1,FALSE,FALSE,1,0,1500,1493.5483225588932,1502.6623312414251,1490.885991317468,0.604408433666395,11
12,1897-05-24,3,Sydney,8,11,59,St Kilda,0,2,2,Lake Oval,57,1897,Regular,3,1897.3,FALSE,NA,NA,NA,3,1,TRUE,FALSE,1,0,1499.7216774411067,1493.7202134153888,1502.2580255703006,1491.183865286195,0.6231280640127939,13
13,1897-05-29,4,Geelong,5,14,44,Carlton,3,4,22,Corio Oval,22,1897,Regular,4,1897.4,FALSE,NA,NA,NA,2,1,FALSE,FALSE,1,0,1491.4664665965593,1490.885991317468,1494.5143842659472,1487.8380736480801,0.5471147593777248,5
