Rank,Team,Season,Round,Margin,Wins,Perc,Top.10,Top.4,Top.2,Top.1,win_league,make_gf,make_prelim,make_semis,make_qf_ef,make_finals,elo.old,elo,elo.change,Form
1,Fremantle,2026,27,620,19,137.2,1,1,1,1,0.522,1.083,1.557,1.557,1.557,1.557,1526.5507769586472,1527.3027195411237,0.7519425824764312,19-4
2,Sydney,2026,27,674,18,136.1,1,1,1,0,0.26,0.482,1,1,1,1,1523.5477828696692,1524.3616996984533,0.8139168287841585,18-5
3,Brisbane Lions,2026,27,445,16,121.7,1,1,0,0,0,0,0,0,1,1,1523.7273918136184,1522.9134749848342,-0.8139168287841585,16-7
4,Hawthorn,2026,27,379,15,120.1,1,1,0,0,0.218,0.435,1,1,1,1,1519.0898532607032,1520.779513501982,1.689660241278716,15-6-2
5,Geelong,2026,27,430,15,122.3,1,0,0,0,0,0,0,1,1,1,1521.4312584118225,1520.679315829346,-0.7519425824764312,15-8
6,Adelaide,2026,27,320,15,117.3,1,0,0,0,0,0,0,0,1,1,1517.8066560423192,1518.6525750639642,0.8459190216449315,15-8
7,Melbourne,2026,27,202,15,109.6,1,0,0,0,0,0,0,0,0,0,1510.8573921485659,1509.6811003710784,-1.1762917774874495,15-8
8,Footscray,2026,27,-91,13,95.4,1,0,0,0,0,0,0,0,1,1,1514.7320602665427,1513.8861412448978,-0.8459190216449315,13-9-1
9,Collingwood,2026,27,47,12,102.4,1,0,0,0,0,0,0,0,0,0,1510.2543766397453,1508.8786244599517,-1.3757521797936079,12-9-2
10,Carlton,2026,27,29,12,101.5,1,0,0,0,0,0,0,0,1,1,1514.59008092014,1513.479148524802,-1.110932395338068,12-10-1
11,St Kilda,2026,27,56,10,102.8,0,0,0,0,0,0,0,0,0,0,1495.5530259408824,1491.0591058567313,-4.493920084151114,10-13
12,GWS,2026,27,-22,10,98.9,0,0,0,0,0,0,0,0,0,0,1494.484889319588,1493.1372372724047,-1.3476520471833737,10-13
13,Gold Coast,2026,27,-117,9,94.5,0,0,0,0,0,0,0,0,0,0,1485.8043671943997,1490.2982872785508,4.493920084151114,9-14
14,North Melbourne,2026,27,-243,9,88.8,0,0,0,0,0,0,0,0,0,0,1485.2191231463273,1484.525460604188,-0.6936625421392364,9-14
15,Port Adelaide,2026,27,-244,7,88.1,0,0,0,0,0,0,0,0,0,0,1479.0046070529272,1481.8297308743518,2.8251238214245404,7-16
16,West Coast,2026,27,-718,4,69.2,0,0,0,0,0,0,0,0,0,0,1456.6274111696362,1455.7508034837579,-0.8766076858782981,4-19
17,Richmond,2026,27,-890,3,62.5,0,0,0,0,0,0,0,0,0,0,1461.6042807642255,1461.26715374441,-0.33712701981539794,3-20
18,Essendon,2026,27,-877,2,64.6,0,0,0,0,0,0,0,0,0,0,1464.3430585635185,1461.517934742094,-2.8251238214245404,2-21
