Team,Season,Round,Margin,Wins,Perc,Top.8,Top.4,Top.2,Top.1
Adelaide,2025,1,125.17920000001745,13.173400000000298,105.16336663638906,0.5472,0.2846,0.1448,0.0741
Brisbane Lions,2025,1,136.08610000003142,14.5851500000004,110.09870347480756,0.6375,0.3785,0.2145,0.1246
Carlton,2025,1,41.738799999988224,12.123499999999167,106.50900255770061,0.49,0.2543,0.1253,0.0626
Collingwood,2025,1,86.92069999998553,12.413099999999138,106.1885012525545,0.4987,0.2559,0.125,0.0575
Essendon,2025,1,-70.91590000000929,10.100400000000523,98.44547280071419,0.3577,0.1543,0.066,0.0276
Footscray,2025,1,104.6863000000435,13.697600000000369,105.57330042731168,0.5728,0.3159,0.174,0.0958
Fremantle,2025,1,-19.945799999994417,12.217200000000703,101.93126562944008,0.4848,0.2258,0.1022,0.0438
GWS,2025,1,94.16440000001812,12.792299999999598,105.74678366262798,0.5197,0.2661,0.133,0.0663
Geelong,2025,1,178.13979999999566,14.120250000000057,106.39164323461998,0.6076,0.3417,0.1947,0.1038
Gold Coast,2025,1,-103.39699999996864,9.30839999999896,NA,0.3014,0.1315,0.0594,0.0273
Hawthorn,2025,1,121.25729999996413,13.91350000000062,106.925929049421,0.5833,0.322,0.1781,0.1008
Melbourne,2025,1,73.98700000002486,12.941899999999059,NA,0.5178,0.2636,0.1369,0.0698
North Melbourne,2025,1,-207.77959999999152,7.018249999999666,92.71703623742438,0.1888,0.0632,0.0237,0.0093
Port Adelaide,2025,1,-63.24239999998505,11.471849999999066,102.2955392368965,0.4258,0.1875,0.0759,0.0347
Richmond,2025,1,-85.77100000003713,9.844100000000852,97.69027765218983,0.3196,0.1345,0.0637,0.0308
St Kilda,2025,1,-70.35289999995734,10.862699999999155,98.68373673164122,0.4027,0.1918,0.0944,0.0445
Sydney,2025,1,45.3038999999595,11.90540000000032,105.04601428775254,0.4704,0.212,0.0825,0.0247
West Coast,2025,1,-386.05890000000767,4.511000000000231,NA,0.0742,0.0168,0.0059,0.002
