Game,Team,Margin,Status,Date,Round
1,G_W_Sydney,13,Updated.,2025-08-20T01:21:22Z,24
2,Adelaide,14,Updated.,2025-08-20T01:21:22Z,24
3,W_Bulldogs,15,Updated.,2025-08-20T01:21:22Z,24
4,Collingwood,12,Updated.,2025-08-20T01:21:22Z,24
5,Geelong,23,Updated.,2025-08-20T01:21:22Z,24
6,Carlton,5,Updated.,2025-08-20T01:21:22Z,24
7,Brisbane,9,Updated.,2025-08-20T01:21:22Z,24
8,Gold_Coast,2,Updated.,2025-08-20T01:21:22Z,24
9,Sydney,10,Updated.,2025-08-20T01:21:22Z,24
10,Gold_Coast,17,Updated.,2025-08-20T01:21:22Z,24
