date,team_1,team_2,tournament,is_team_1_home,is_team_2_home,is_neutral,year,month,team_1_fifa,team_2_fifa,draw_betfair_odds,team_1_betfair_odds,team_2_betfair_odds,team_1_elo,team_2_elo,game_id_team_1,last_10_result_team_1,last_10_goals_team_1,last_10_goals_against_team_1,world_cup_wins_team_1,world_cup_games_team_1,game_id_team_2,last_10_result_team_2,last_10_goals_team_2,last_10_goals_against_team_2,world_cup_wins_team_2,world_cup_games_team_2
2018-06-14,Russia,Saudi Arabia,World Cup 2018,TRUE,FALSE,FALSE,2018,6,493,462,4.6,1.47,10,1684.3729399805986,1700.6814210354523,14725,0.5,1.8,1.4,1,6,14696,0.5,2,1.6,0,6
2018-06-15,Egypt,Uruguay,World Cup 2018,FALSE,FALSE,TRUE,2018,6,636,976,3.8,7.8,1.65,1769.523735111293,1827.8051068472785,14689,0.7,1.2,0.6,0,0,14706,0.35,1,1.7,5,14
2018-06-15,Morocco,Iran,World Cup 2018,FALSE,FALSE,TRUE,2018,6,681,798,3.05,2.38,4,1752.2095047536088,1864.5644461247375,14675,0.65,1.8,0.5,0,0,14698,0.85,1.4,0.5,0,6
2018-06-15,Portugal,Spain,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1306,1162,3.5,4.8,1.99,1963.6266412923374,1989.555805586569,14722,0.9,2.1,0.3,7,17,14725,0.9,3.3,0.7,13,19
2018-06-16,France,Australia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1166,700,7,1.27,14.5,1942.804837813549,1793.758869594216,14713,0.7,2,0.9,7,18,14737,0.5,1.2,1.5,2,10
2018-06-16,Argentina,Iceland,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1254,930,5.3,1.35,15,1956.5558214185412,1781.230496598264,14705,0.65,1.5,0.8,13,20,14723,0.65,1.3,0.6,0,0
2018-06-16,Peru,Denmark,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1106,1054,3.35,3.3,2.48,1893.1251051440458,1772.9414462367245,14738,0.7,1.2,0.7,0,0,14717,0.75,2,0.6,3,7
2018-06-16,Croatia,Nigeria,World Cup 2018,FALSE,FALSE,TRUE,2018,6,975,635,3.8,1.75,6.2,1821.5839567372204,1756.2402802051206,14690,0.6,1.1,0.8,2,9,14705,0.75,2,0.9,1,10
2018-06-17,Costa Rica,Serbia,World Cup 2018,FALSE,FALSE,TRUE,2018,6,858,732,3.45,4.7,1.95,1783.0795388513898,1714.643997574993,14715,0.45,1,1.3,3,11,14718,0.65,1.3,0.8,1,6
2018-06-17,Germany,Mexico,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1544,1008,4.4,1.54,8.2,2074.395073677832,1844.0906451313776,14713,0.85,2.7,0.8,21,28,14702,0.65,1.4,0.9,6,16
2018-06-17,Brazil,Switzerland,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1384,1179,4.9,1.45,9.4,2076.6924003716144,1814.1102523699112,14712,0.75,2,0.4,17,24,14692,0.85,1.8,0.4,5,11
2018-06-18,Sweden,Korea Republic,World Cup 2018,FALSE,FALSE,TRUE,2018,6,889,520,NA,NA,NA,1765.550171919358,1758.8109169639515,14699,0.7,2.5,0.9,2,8,14718,0.4,0.9,1.3,5,17
2018-06-18,Belgium,Panama,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1346,574,8,1.2,24,1886.283811746375,1725.075248727937,14707,0.85,3.1,1.2,5,9,14733,0.55,1.7,1.1,0,0
2018-06-18,Tunisia,England,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1012,1040,4.8,11,1.43,1705.437809998982,1881.4046073860434,14681,0.5,1.4,1.3,0,6,14712,0.65,1.4,0.7,6,17
2018-06-19,Colombia,Japan,World Cup 2018,FALSE,FALSE,TRUE,2018,6,989,528,3.75,1.71,6.2,1908.238378278938,1826.380585354012,14711,0.6,1.7,0.8,4,5,14707,0.55,1.6,1.1,4,14
2018-06-19,Poland,Senegal,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1128,825,3.35,2.4,3.65,1791.8959332144318,1831.5584844857133,14702,0.7,2.2,1.1,2,6,14726,0.75,1.5,0.5,2,5
2018-06-19,Russia,Egypt,World Cup 2018,TRUE,FALSE,FALSE,2018,6,493,636,3.35,2.22,4.2,1684.3729399805986,1769.523735111293,14725,0.5,1.8,1.4,1,6,14689,0.7,1.2,0.6,0,0
2018-06-20,Portugal,Morocco,World Cup 2018,FALSE,FALSE,TRUE,2018,6,1306,681,3.7,1.7,7.6,1963.6266412923374,1752.2095047536088,14722,0.9,2.1,0.3,7,17,14675,0.65,1.8,0.5,0,0
