date,team_1,team_2,team_1_goals,team_2_goals,tournament,is_team_1_home,is_team_2_home,is_neutral,team_1_betfair_odds,draw_betfair_odds,team_2_betfair_odds,year,month,match_id,result,tournament_cat,team_1_fifa,team_2_fifa,game_id,team_1_result,team_2_result,team_1_goals_against,team_2_goals_against,k_val,team_1_elo,team_2_elo,team_1_elo_prob,last_10_result_team_1,last_10_goals_team_1,last_10_goals_against_team_1,world_cup_wins_team_1,world_cup_games_team_1,last_10_result_team_2,last_10_goals_team_2,last_10_goals_against_team_2,world_cup_wins_team_2,world_cup_games_team_2
1998-07-15,Ukraine,Poland,1,2,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,1,lose,Friendly,565,586,1,0,1,2,1,20,1500,1500,0.6400649998028851,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-18,Malawi,Zimbabwe,1,0,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,2,win,Friendly,364,442,2,1,0,0,1,20,1500,1500,0.6400649998028851,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-18,Uganda,Kenya,3,3,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,3,draw,Friendly,342,366,3,0.5,0.5,3,3,20,1500,1500,0.6400649998028851,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-20,Malawi,Zimbabwe,0,0,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,4,draw,Friendly,364,442,4,0.5,0.5,0,0,20,1507.1987000039423,1492.8012999960577,0.6589288307455502,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-22,Senegal,Cape Verde,1,0,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,5,win,Friendly,401,NA,5,1,0,0,1,20,1500,1500,0.6400649998028851,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-24,Burkina Faso,Niger,1,0,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,6,win,Friendly,415,124,6,1,0,0,1,20,1500,1500,0.6400649998028851,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-25,Benin,Ghana,0,1,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,7,lose,Friendly,200,547,7,0,1,1,0,20,1500,1500,0.6400649998028851,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-26,Niger,Ivory Coast,1,0,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,8,win,Friendly,124,553,8,1,0,0,1,20,1492.8012999960577,1500,0.6304638446776083,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-26,Senegal,Mali,3,1,Friendly,TRUE,FALSE,FALSE,NA,NA,NA,1998,7,9,win,Friendly,401,430,9,1,0,1,3,20,1507.1987000039423,1500,0.6495553605639253,NA,NA,NA,0,0,NA,NA,NA,0,0
1998-07-30,Guam,Northern Mariana Islands,2,1,Friendly,FALSE,FALSE,TRUE,NA,NA,NA,1998,7,10,win,Friendly,4,NA,10,1,0,1,2,20,1500,1500,0.5,NA,NA,NA,0,0,0,1,2,0,0
